FirstName,MiddleName,LastName,CustomerID,Address,PostalCode,Email,Phone,DOB,SignupDate,Gender,AnnualIncome,CustomerSegment,LastPurchaseAmount,LifetimeValue,EmailOptIn
Liu,L,Dasgupta,103559,"13, Business Park, Kolkata, West Bengal",926391,liudasgupta@yahoocom,,1969-08-20,2020-10-21,M,1075580.79,Occasional,9487.13,44710.73,y
Isha,K,Johnson,102173,"166, Lake View, Ahmedabad, Gujarat",917181,isha.johnson@yahoo.com,79689 83144,1963-06-09,1962-10-01,female,516521.23,Platinum,37615.5,354546.67,N/A
Fatima7,V,Gonzalez,102998,"182, Church St, New Delhi, Delhi",uBrHDa,fatima7.gonzalez@yahoo.com,72949 12599,1990-06-01,2016-01-13,Male,575298.89,Bronze,6808.31,104165.32,N
Aarav,L,Gonzalez,103405,"77, Church St, New Delhi, Delhi",175137,aarav.gonzalez@example.com,+91-6319675993,1961-11-17,1988-02-17,M,647792.82,Occasional,1062.44,20990.31,
Oliver,V,Thomas,100088,"138, Lake View, Chandigarh, Punjab",742818,oliver.thomas@mail.biz,43060 91011,1963-01-12,2010-11-20,M,461307252.59,Loyal,4043.84,65524.99,N/A
Sneha,,Iyer,100671,"108, Station Rd, New Delhi, Delhi",242406,sneha.iyer@mail.biz,+91-8840505893,1994-03-15,2011-09-11,M,1066136.3,New,29607.45,530790.83,FALSE
Lakshmi,L,Khan,100035,"102, Cross St, Chennai, Tamil Nadu",848831,lakshmi.khan@gmail.com,96728 25217,2004-09-09,2024-12-22,M,279672757.23,Silver,43926.06,442421.95,Y
Amit,Na,Gonzalez,104590,"70, Lake View, Pune, Maharashtra",392664,amit.gonzalez@mail.biz,8188783327,1946-09-18,1985-08-09,F,166929.97,Bronze,11766.34,40389.94,n
John,,Reddy,104019,"147, Cross St, Surat, Gujarat",280432,John99@mail.biz,8923757830,1955-03-16,1999-11-12,Female,1965271.14,Bronze,10221.52,126596.77,FALSE
Aarav,S,Lee,104011,"62, Church St, Kolkata, West Bengal",715952,aarav.lee@gmail.com,4392816814,1946-02-02,1994-07-20,Male,251965.05,Bronze,49307.16,605669.55,
Carlos,B,Nair,103783,"243, MG Road, Surat, Gujarat",987149,carlos.nair@gmail.com,6354236084,2000-12-24,2025-05-02,F,855680.19,Loyal,44159.17,273599.89,
Meera,,Sharma,101894,"134, Park Street PO Box 7101, Chandigarh, Punjab",287928,meera.sharma@gmail.com,+91-6944757022,1955-10-07,1985-04-04,male,1483780.88,New,6735.68,76221.27,maybe
Fatima,,Fernandez,101125,"58, Industrial Area, Bengaluru, Karnataka",906658,Fatima64@gmail.com,7873160645,1948-02-20,1969-12-27,F,1861839.04,Bronze,21209.14,150565.82,1
Naveen,,Wilson,101610,"7, Lake View, Hyderabad, Telangana",486595,naveen.wilsonyahoo.com,3613143139,1992-06-05,2010-10-29,M,1006179.83,Silver,27641.22,273093.74,
Fatima1,Kr,Iyer,104936,"214, 1st Main, Chandigarh, Punjab",396163,fatima1.iyer@yahoo.com,33123 33586,1996-06-09,2014-03-26,O,523100.95,Silver,5457.61,94899.45,FALSE
Priya,S,Lee,104247,"56, Ring Road, Jaipur, Rajasthan",600931,priya.lee@yahoo.com,7423884816,1950-12-13,1976-02-29,M,197340.35,Silver,42198.98,483862.31,n
Kumar,L,Dasgupta,100338,"230, Ring Road, Kolkata, West Bengal",766608,kumar.dasgupta@yahoo.com,1945923773,1949-11-09,2020-04-26,female,689964.07,New,39337.04,316913.83,N
Rajé,T,Thomas,102310,"50, Business Park, Ahmedabad, Gujarat",480010,rajé.thomas@hotmail.com,3011255475,1945-09-14,1995-07-14,Unknown,180432.44,Loyal,22163.11,123557.89,N
Sneha,R,Gonzalez,101758,"181, Park Street, Bengaluru, Karnataka",666885,sneha.gonzalez@gmail.com,94671 75871,1965-09-21,2006-04-26,Female,1890251.97,New,8316.67,142898.84,
Naveen,P,Wilson,100938,"123, Business Park, Chandigarh, Punjab",902999,naveen.wilson@example.com,+91-5758527355,1973-09-16,2005-09-10,F,83918.67,New,35556.47,451691.45,n
Anany,B,Wilson,104787,"203, Station Rd, Kolkata, West Bengal",495865,Anany91@corporate.co,7487628791,2006-11-19,2024-11-10,female,1473726.08,Platinum,48166.89,804241.51,
Isha,,Gonzalez,102194,"51, Industrial Area, Chandigarh, Punjab",702070,isha.gonzalez@hotmail.com,7936364483,1990-07-31,2015-01-30,Male,684330.64,Gold,11347.4,77958.12,N
Oliver,,Das,101656,"196, 1st Main, Surat, Gujarat",998592,oliverdas@corporateco,3597714122,1949-11-13,2004-04-22,M,1491473.59,Silver,32203.18,165250.1,
Liu,Na,Gonzalez,102247,"249, Ring Road, Chandigarh, Punjab",220497,liu.gonzalez@mail.biz,4260718802,2000-04-27,2023-07-15,Male,1119760.09,Occasional,15196.45,142796.22,1
Naveen,P,Wang,100749,"235, Station Rd, Ahmedabad, Gujarat",000000,naveen.wang@gmail.com,8556423684,2000-01-17,2021-01-24,F,1147583.13,Gold,21654.9,307418.86,
Isha,V,Gonzalez,104836,"225, Park Street, Chennai, Tamil Nadu",000000,isha.gonzalez@gmail.com,36156 58347,1983-09-11,2000-03-14,male,1789451.2,Loyal,4226.22,52220.11,Yes
Priya,,Wang,103976,"67, Temple Rd, Jaipur, Rajasthan",903856,priya.wang@yahoo.com,81232568,1950-09-24,2018-03-24,Female,288212293.15,Bronze,47441.61,536594.51,No
Ananya4,K,Thomas,103745,"205, Business Park, Hyderabad, Telangana",343711,ananya4.thomas@mail.biz,9139005494,2027-04-29,2025-06-21,F,153305114.86,Bronze,15300.66,301622.35,0
Noah,V,Patel,CUST-NE7KXF,"175, Industrial Area, Jaipur, Rajasthan",231223,noah.patel@mail.biz,80079 67319,1982-03-13,2006-10-29,M,1486335.66,Occasional,27187.75,262978.02,0
Liu,V,Kumar,102516,"102, Ring Road, Surat, Gujarat",220578,liu.kumar@corporate.co,5669777771,1945-09-14,1961-02-23,Female,272373.14,New,160.66,1050.2,
Rohit,,Sharma,104696,"241, Station Rd, New Delhi, Delhi",902342,rohit.sharma@yahoo.com,05374 05723,1947-01-18,1990-11-07,M,762742.06,Platinum,0.0,-73.93,0
Michael,L,Kumar,100811,"197, Industrial Area, Surat, Gujarat",731791,michael.kumar@hotmail.com,5445091630,1979-08-28,2006-11-16,F,136850.1,Occasional,32479.02,371708.78,N
Aarav,L,Lee,102063,"137, 1st Main, Chennai, Tamil Nadu",247373,aarav.lee@example.com,+91-8696765462,1996-09-15,2019-03-05,Female,515162.32,Bronze,29962.41,443307.95,1
Chen,S,Sharma,103822,"2, Ring Road PO Box 9565, New Delhi, Delhi",303302,,94080 26528,2007-10-26,2024-04-21,M,1406797.99,Silver,32707.49,104705.03,n
Fatima,K,Thomas,104607,"110, MG Road, Pune, Maharashtra",698379,fatima.thomascorporate.co,48562439,1948-02-08,1983-06-15,M,1032510.66,Gold,42513.57,508342.02,maybe
David,R,Wilson,104219,"86, Temple Rd, Chennai, Tamil Nadu",658783,david.wilson@example.com,2537936362,1947-11-23,2012-11-16,female,1224622.68,Silver,34944.06,623657.92,N
Lakshmi,,Thomas,102826,"113, Lake View, Bengaluru, Karnataka",990948,lakshmi.thomas@hotmail.com,9741157898,1975-04-02,2012-05-30,M,1267347.79,Silver,131.77,1173.3,y
Rohit,,Patel,104656,"175, Church St, Hyderabad, Telangana",000000,rohit.patel@corporate.co,01164334,1991-02-26,2011-06-23,M,384460.42,Platinum,-5091.48,-99244.77,y
Sara,Kr,Lee,102924,"185, Cross St, New Delhi, Delhi",874053,sara.lee@yahoo.com,8763942346,1945-03-25,1978-06-25,F,926320.05,Loyal,14478.07,216976.42,
Amit,T,Wilson,100884,"149, Lake View, Bengaluru, Karnataka",968159,amit.wilson@gmail.com,86479 49009,1969-11-10,1996-08-25,,117895.75,Platinum,34768.26,601481.18,1
Sara,Na,Gupta,101177,"209, Cross St, Chennai, Tamil Nadu",191585,sara.gupta@corporate.co,2710760599,2028-07-09,2025-02-24,Female,1939181.2,Bronze,32386.24,546083.1,TRUE
Fatima,,Nair,101062,"173, Temple Rd, Jaipur, Rajasthan",664294,fatima.nair@example.com,02411 24334,1962-02-01,1987-03-31,M,1623712.83,Silver,14244.02,218645.13,FALSE
Lakshmi,K,Wilson,104966,"56, Lake View, New Delhi, Delhi",866249,lakshmi.wilson@gmail.com,38058 38077,1996-02-14,2025-10-15,F,942563.49,Loyal,49421.11,268144.88,0
Michael,,Iyer,102388,"22, Lake View, Kolkata, West Bengal",43875,michael.iyer@example.com,+91-1623080094,1969-09-21,2016-08-19,M,1346060.21,Bronze,43568.89,457568.31,
Aarav,V,Thomas,103374,"103, Cross St, Ahmedabad, Gujarat",000000,aarav.thomas@hotmail.com,,1955-11-27,1975-03-27,Female,706875.16,Platinum,24567.75,455457.28,
David,P,Thomas,101664,"232, Church St, Mumbai, Maharashtra",504517,david.thomas@example.com,,2026-06-12,2024-12-10,M,295360.93,Silver,40774.02,769030.85,n
Michael,,Gonzalez,103349,"220, 1st Main, Bengaluru, Karnataka",413111,Michael46@yahoo.com,5581741927,1965-04-09,1989-08-15,Female,908927.01,Silver,45354.97,615288.81,
Sneha,,Das,101475,"5, Cross St, Kolkata, West Bengal",301784,sneha.das@mail.biz,8839398605,1958-12-26,1999-01-27,Male,200027.55,Occasional,24785.61,53529.83,N
neha,B,Johnson,103205,"240, Church St, New Delhi, Delhi",904161,neha.johnson@hotmail.com,+91-0046950948,1983-04-29,2008-03-26,F,916883.38,Bronze,41099.4,503071.07,FALSE
Ananyaé,,Dasgupta,103267,"72, Business Park, Hyderabad, Telangana",100012,ananyaé.dasgupta@corporate.co,4255912334,1974-03-21,2021-11-05,F,286841.45,Loyal,9555.92,122209.31,1
Oliver,H,Singh,100186,"27, Park Street, Mumbai, Maharashtra",583232,oliver.singh@hotmail.com,06429 04155,1948-04-11,1980-04-05,F,992296.29,Platinum,0.0,-33.35,
Naveen,Devi,Singh,101071,"215, Ring Road, Ahmedabad, Gujarat",106002,naveen.singh@yahoo.com,88874 78817,1950-01-27,2010-12-14,male,592514.71,Silver,47590.04,148371.4,Y
Kumar,Kr,Reddy,103983,"127, Lake View, Ahmedabad, Gujarat",420300,kumar.reddy@mail.biz,8734223341,1948-09-10,2006-07-22,F,1619356.38,Bronze,37645.96,385256.51,
Karthik,,Gonzalez,101589,"128, MG Road, Chennai, Tamil Nadu",764417,karthik.gonzalezmail.biz,7887914136,1970-09-09,2016-07-02,F,1953013.42,Occasional,12892.35,111032.91,0
John,,Lee,104645,"192, Station Rd, Pune, Maharashtra",661766,john.lee@gmail.com,0801215080,1975-04-22,1965-10-20,M,482430.23,Silver,9998.5,139534.98,TRUE
Sara,B,Dasgupta,103285,"174, Ring Road, Kolkata, West Bengal",173143,sara.dasgupta@corporate.co,1599253491,1949-09-07,1993-09-01,male,1422106.18,Loyal,10364.35,,N/A
Naveen,,Gonzalez,103734,"163, Temple Rd, Mumbai, Maharashtra",898722,naveen.gonzalez@example.com,8645731447,1985-06-23,2024-08-09,F,165365.15,New,551.02,10051.99,No
Oliver,T,Iyer,104096,"215, 1st Main, Ahmedabad, Gujarat",156581,oliver.iyer@example.com,+91-7234814846,1999-04-22,2023-05-03,M,1971182.42,Occasional,44119.09,873020.34,TRUE
Ananya,,Smith,100129,"118, Church St, Chennai, Tamil Nadu",397917,ananya.smith@example.com,15285 59554,1893-12-29,1930-11-15,F,1675584.65,Silver,35399.95,358427.04,N/A
Cen,Devi,Lee,100119,"157, Temple Rd, Mumbai, Maharashtra",114663,cen.lee@mail.biz,+91-7917079984,1983-04-02,2008-06-12,F,937144.38,Occasional,35251.31,408328.78,y
 Nah ,S,Wilson,103979,"213, Cross St, Surat, Gujarat",129136,nah.wilson@mail.biz,3468421206,1962-09-03,1983-09-03,M,748716.78,Gold,19488.82,37982.89,N/A
Aarav,S,Kumar,104759," 168, Church St, Pune, Maharashtra   ",483897,Aarav28@hotmail.com,+91-3948011186,1993-10-05,2023-09-13,M,1063574.43,New,14920.75,38427.76,Yes
Sowmya,L,Singh,101703,"25, Ring Road, Jaipur, Rajasthan",749721,sowmya.singh@gmail.com,9664803053,1974-11-19,2001-06-28,M,759346.24,Silver,3613.76,15770.55,No
Aarav,,Dasgupta,104443,"27, Station Rd, Mumbai, Maharashtra",569343,aarav.dasgupta@mail.biz,0008739927,1998-02-19,2021-07-29,F,1671051.55,Loyal,16050.64,67859.13,TRUE
Sowmya,R,Wilson,104619,"80, Business Park, New Delhi, Delhi",YcamCf,sowmya.wilson@corporate.co,1286361358,2006-07-11,2025-05-21,female,1661066.09,Silver,20859.26,231478.72,N
Aarav,,Brown,103813,"99, Cross St, Kolkata, West Bengal",180647,aarav.brown@example.com,9050094495,1980-04-08,2007-06-25,Male,1072414.75,Occasional,46726.85,688882.53,Yes
Karthik,,Lee,100524,"38, Cross St, Hyderabad, Telangana",000000,karthik.lee@example.com,35029 81880,1953-08-12,1980-01-02,F,976969.21,Occasional,39992.89,356408.47,
Sneha,T,Das,100192,"9, Sector 18, Chandigarh, Punjab",94729,sneha.das@yahoo.com,1654817690,1974-06-28,2004-01-06,Male,1661473.67,Bronze,8001.02,22640.77,No
Naveen,M,Lee,103069,"212, Park Street, New Delhi, Delhi",562497,naveen.lee@yahoo.com,0749940388,1955-08-19,1976-11-28,M,1659349.44,Bronze,3512.73,16139.96,TRUE
Rohit,,Singh,100495,"184, Industrial Area, Mumbai, Maharashtra",491660,rohit.singh@example.com,4535294965,1954-01-22,1982-03-13,M,1875880.28,Gold,35470.51,439627.51,N/A
Sara,Devi,Thomas,103932,"67, Temple Rd, Chandigarh, Punjab",443026,sara.thomas@mail.biz,4200234770,1989-05-19,2022-07-27,F,912592.93,Platinum,13505.06,97142.14,N
Nah,,Iyer,102408,"194, Station Rd, Hyderabad, Telangana",54001,nah.iyer@yahoo.com,97771 46698,1999-03-24,2018-04-16,,1081066.12,Platinum,31412.46,568705.4,
Fatima,K,Gupta,100626,"165, Station Rd, Kolkata, West Bengal",420272,fatima.guptayahoo.com,0388230611,1997-11-16,2018-01-25,Male,1991099.14,Platinum,18919.75,300033.69,TRUE
Naveen,L,Smith,103208,"63, Business Park, Mumbai, Maharashtra",402035,naveen.smith@mail.biz,3441313525,1959-01-21,1997-02-16,F,358527.63,Gold,13789.87,36883.61,N
 Meer ,,Kumar,101606,"206, Business Park, Chandigarh, Punjab",504747,meer.kumar@gmail.com,86838 29358,1975-05-06,2014-12-17,F,1954092.37,New,24506.85,414776.43,No
Meera,M,Fernandez,101640,"66, Ring Road, Chennai, Tamil Nadu",492949,meera.fernandez@gmail.com,2083639364,1894-10-03,1988-12-02,F,1715386.07,Bronze,47572.36,506663.69,
Oliver,,Brown,103162,"214, Cross St, Bengaluru, Karnataka",289024,oliver.brown@hotmail.com,8579778326,1962-07-09,2015-07-19,Male,1979796.31,Occasional,25509.82,350607.12,Y
Oliver,A,Johnson,101150,"113, Lake View, Chandigarh, Punjab",904031,oliver.johnson@yahoo.com,3366472369,1983-10-21,2020-08-02,Female,437272.91,New,10504.16,16356.6,1
Isha,V,Patel,100138,"108, Park Street, Kolkata, West Bengal",23giES,Isha23@yahoo.com,8567709883,1955-02-11,1978-12-31,Male,645773.68,New,28271.56,112670.46,0
Sowmya,S,Gupta,103829,"30, Ring Road, Kolkata, West Bengal",,sowmya.gupta@example.com,45317984,1971-01-30,1989-09-11,F,1103923.09,Occasional,20126.67,112589.62,1
Kumar,Devi,Iyer Jr.,102246,"143, Ring Road, Hyderabad, Telangana",753722,kumar.iyer@yahoo.com,6946576687,1972-07-12,1995-04-27,F,173314.7,Occasional,43199.65,165432.67,N/A
Raj,T,Kumar,100489,"20, Industrial Area, Bengaluru, Karnataka",305096,raj.kumar@corporate.co,94383 99731,1968-10-10,2007-03-15,F,161192.7,Silver,18786.65,147857.7,N/A
Raj,,Iyer,100497," 163, Industrial Area, Kolkata, West Bengal   ",414585,raj.iyer@yahoo.com,abcdefghij,1951-04-04,1990-03-24,female,1404025.14,Platinum,37481.87,319163.84,
Amit,Na,Fernandez,100994,"244, Station Rd, Mumbai, Maharashtra",425321,amit.fernandez@mail.biz,+91-5096719964,1959-11-24,1991-06-30,Female,260342290.75,Silver,6608.6,100372.03,FALSE
Raj,Na,Dasgupta,100418,"20, Lake View, Surat, Gujarat",000000,raj.dasgupta@example.com,2704771406,1954-04-06,1970-06-27,male,1611652.01,Loyal,39703.32,752128.74,
Ananya,Na,Kumar,102234,"80, Station Rd, Bengaluru, Karnataka",247006,ananya.kumar@hotmail.com,8400088357,1957-07-02,1996-08-23,Female,1661058.34,Bronze,12475.93,141538.2,No
Carlos,S,Patel,102404,"178, Ring Road, Surat, Gujarat",732676,carlos.patel@hotmail.com,+91-8032623106,1987-11-16,2005-08-14,F,1853230.73,Loyal,41039.38,720584.95,n
Kumar,,Reddy,100322,"246, Industrial Area, Kolkata, West Bengal",942955,Kumar49@mail.biz,5957875394,1952-01-11,2001-03-24,Female,415432.83,Occasional,8178.57,45009.08,maybe
Sneha,T,Nair,102496,"51, Sector 18, Mumbai, Maharashtra",382368,sneha.nair@hotmail.com,8689630450,1965-04-06,2013-09-04,Male,1547883.04,New,43351.37,171202.15,N/A
Noah,,Gupta,104158,"233, Industrial Area, Kolkata, West Bengal",871004,noah.guptagmail.com,0972889446,1966-07-21,1989-12-16,,1113577.66,Silver,8038.67,111047.49,
Kumar,,Wilson,101916,"164, Lake View, Bengaluru, Karnataka",619008,kumar.wilson@example.com,2684312382,1950-12-17,1987-09-28,Male,1007675.38,Silver,48641.63,238558.08,TRUE
Amt,A,Gupta Jr.,104688,"82, Temple Rd, Chennai, Tamil Nadu",314645,amt.gupta@yahoo.com,7970201584,1955-09-30,1986-01-31,M,734274.55,Loyal,22640.19,,y
Karthik,A,Wilson,101151,"102, Industrial Area, Chandigarh, Punjab",103134,karthik.wilson@gmail.com,69455 99689,1961-10-25,2003-06-25,M,428335.85,Loyal,12625.43,96505.52,Y
Kumar,H,Johnson,102971,"33, 1st Main, Kolkata, West Bengal",672719,kumar.johnson@corporate.co,6858448758,1961-12-02,2001-08-29,F,571246.08,Bronze,20701.58,283461.27,Yes
Ananya,,Wang',103577,"165, 1st Main, Hyderabad, Telangana",391762,ananya.wang'@corporate.co,30845 13437,2007-09-17,2022-09-21,Male,1151245.66,Loyal,43280.74,625563.68,No
Liu,S,Khan,101322,"101, MG Road PO Box 4756, Chennai, Tamil Nadu",612229,liu.khan@mail.biz,8561329279,1994-06-30,2010-10-22,Unknown,962751.83,Occasional,0.0,25.31,
Aaravé,,Sharma,102874,"50, Temple Rd, Ahmedabad, Gujarat",172090,aaravé.sharma@hotmail.com,4373203061,2006-05-19,2025-08-17,M,1437154.14,Platinum,7325.73,114959.36,
Priya,Devi,Wang,102395,"150, Industrial Area, Jaipur, Rajasthan",320732,priya.wang@corporate.co,,1963-03-08,2024-02-12,female,251271.88,Silver,875.68,7651.63,No
Oliver,,Das,104178,"222, Industrial Area, Kolkata, West Bengal",552759,oliver.das@yahoo.com,5400533447,1985-05-11,2023-04-02,male,414394.78,Bronze,32106.59,181080.75,y
Chen,H,Fernandez,103812,"198, Lake View, Bengaluru, Karnataka",779900,chen.fernandez@mail.biz,3685894747,1895-10-18,1923-09-22,M,165345.26,Silver,34490.09,368859.38,N
Sowmya,R,Thomas,101799,"88, Ring Road, Jaipur, Rajasthan",861456,sowmyathomas@mailbiz,0692264302,2000-12-28,2025-04-24,F,1246605.26,Silver,29019.78,234840.24,
Ananya,K,Patel,102729,"216, Ring Road, Hyderabad, Telangana",117044,ananya.patel@gmail.com,61379 10205,1983-11-10,2022-07-31,M,512521.4,Platinum,23209.76,452228.2,N/A
David,,Fernandez,104434,"22, Church St, New Delhi, Delhi",102389,david.fernandez@yahoo.com,11726 69772,1985-11-21,2000-11-30,male,343948.69,Platinum,12427.51,153225.75,n
 Sowmya ,K,Patel,104692,"172, Lake View, Surat, Gujarat",662489,sowmya.patel@yahoo.com,+91-8887849932,1945-10-08,2009-02-02,Male,1859996.78,Bronze,32587.18,510378.78,FALSE
Naveen,M,Nair,101743,"74, Cross St, Chandigarh, Punjab",714985,naveen.nair@mail.biz,7286327549,1954-06-21,1990-02-14,Unknown,173956.2,Platinum,18892.65,239619.42,Yes
Meera,S,Gupta,100801,"74, 1st Main, Chandigarh, Punjab",558688,meera.gupta@hotmail.com,1119491425,1948-04-14,2003-10-31,female,204448.77,Platinum,8847.37,76678.83,TRUE
Lakshmi,R,Wang,101919,"37, Station Rd, Bengaluru, Karnataka",109771,lakshmi.wang@yahoo.com,+91-6135199709,1962-04-06,2013-05-19,male,936759.9,Occasional,15880.73,119727.25,FALSE
 Emma ,M,Wang,100744,"18, Cross St, Kolkata, West Bengal",946054,emma.wang@corporate.co,+91-2073480862,2002-09-08,2024-04-17,F,497356.78,Silver,12818.9,26911.98,maybe
Chen,S,Smith,100921,"57, MG Road PO Box 7627, Jaipur, Rajasthan",810237,Chen40@mail.biz,3244106189,1978-05-17,2020-02-17,F,1985078.71,Gold,48241.01,444524.85,1
Ananya,,Kumar,100270,"139, Lake View, Mumbai, Maharashtra",831259,ananya.kumar@hotmail.com,90119 36835,2004-12-20,2002-10-24,Female,985816.58,Gold,26328.07,442493.93,N/A
Aarav,T,Nair,104663,"29, Temple Rd, Bengaluru, Karnataka",832201,aarav.nair@mail.biz,3091659895,1950-12-31,2000-12-12,Male,132535.32,New,21405.68,348397.02,y
Fatima,,Fernandez,104367,"70, Park Street, New Delhi, Delhi",379154,fatima.fernandez@mail.biz,+91-9616187605,1947-11-23,1994-02-03,Male,45968.36,Gold,27354.45,490621.41,N/A
Sneha,M,Dasgupta,100909,"160, Cross St, Bengaluru, Karnataka",759039,sneha.dasgupta@gmail.com,+91-3850954514,1989-10-24,2015-04-09,F,261647.37,Bronze,23593.95,,1
Karthik,,Singh,104143,"237, Ring Road, Pune, Maharashtra",568021,karthik.singh@example.com,76564 94580,1999-08-20,2016-12-10,female,1769080.82,Bronze,0.0,3.37,FALSE
Raj,M,Gonzalez,100842,"22, Temple Rd, Hyderabad, Telangana",454262,raj.gonzalez@yahoo.com,0167829886,1984-04-20,2000-06-20,F,1154811.26,Silver,17455.21,110610.33,
Carlos,H,Smith,104621,"184, Industrial Area, Ahmedabad, Gujarat",214562,carlos.smith@gmail.com,3716112569,2000-03-25,2022-03-03,male,124760.14,Platinum,35162.43,532930.56,N/A
Noah,,Lee,103633,"239, Temple Rd, Surat, Gujarat",884016,noah.lee@example.com,33080 93526,2006-10-12,2024-11-23,F,194484.78,Platinum,18280.46,258137.23,maybe
Karthik,,Brown,103219,"82, Temple Rd, Surat, Gujarat",256764,karthik.brown@gmail.com,+91-5111538282,1954-06-09,2012-03-17,Female,1104379.24,Silver,16779.04,79918.14,1
